iter	RMSE
0	0.04261815986
1	0.04258260352
2	0.04255138803
3	0.04252104666
4	0.04249480254
5	0.04246402471
6	0.04243553144
7	0.04242098132
8	0.04239298537
9	0.04236743722
10	0.04233664713
11	0.04230411615
12	0.04228134599
13	0.04225638384
14	0.04223461001
15	0.04220477922
16	0.04217869196
17	0.04215352089
18	0.04213072797
19	0.04211049851
20	0.0420890676
21	0.0420621759
22	0.04202752867
23	0.04200341805
24	0.04197393591
25	0.04193888593
26	0.04190972516
27	0.04189006565
28	0.04186500842
29	0.04183382997
30	0.04180070576
31	0.0417823662
32	0.04174780848
33	0.04172643064
34	0.04169344109
35	0.04167102343
36	0.04165388464
37	0.04162649484
38	0.04160888337
39	0.0415871865
40	0.04155926808
41	0.04153022389
42	0.0415111552
43	0.04148980192
44	0.04146584403
45	0.04144071281
46	0.04141251564
47	0.04140072806
48	0.04137444022
49	0.04135284846
50	0.04133014737
51	0.04131058985
52	0.04129226255
53	0.04126769018
54	0.04124657273
55	0.04122513871
56	0.04120138084
57	0.04117653251
58	0.04116089243
59	0.0411344879
60	0.04111470457
61	0.04108695339
62	0.04106816452
63	0.04104288873
64	0.04101638374
65	0.0409931713
66	0.0409766181
67	0.04095458686
68	0.04092814417
69	0.04090403162
70	0.0408889972
71	0.04087629828
72	0.04086407051
73	0.04083827735
74	0.040811068
75	0.04079122914
76	0.04077400418
77	0.04075687256
78	0.04073220086
79	0.04071664738
80	0.04069921686
81	0.04068410558
82	0.04066079151
83	0.04063796539
84	0.04061202065
85	0.04058872178
86	0.04056789484
87	0.04054174666
88	0.04052066326
89	0.04049263656
90	0.04048093978
91	0.04046071233
92	0.0404400579
93	0.04042608149
94	0.04040727252
95	0.04039223092
96	0.040371395
97	0.04035039033
98	0.04032657019
99	0.04030913884
100	0.04028868324
101	0.0402608849
102	0.0402300086
103	0.04021011501
104	0.04019065752
105	0.0401642526
106	0.04014494454
107	0.04011602438
108	0.04009310427
109	0.04007311995
110	0.04006007672
111	0.04004260653
112	0.04002284951
113	0.0399931088
114	0.03997848284
115	0.03996535875
116	0.03994206894
117	0.03993038194
118	0.03991285452
119	0.03989074426
120	0.03987565781
121	0.03985277295
122	0.0398343218
123	0.03982084488
124	0.03980710542
125	0.03979028588
126	0.03977317136
127	0.03975998742
128	0.03973998848
129	0.03971926056
130	0.039703866
131	0.03968423629
132	0.03966286825
133	0.03964842912
134	0.03963801713
135	0.03962022804
136	0.0395992545
137	0.03957675827
138	0.03956328553
139	0.03954430036
140	0.03952490029
141	0.03950354319
142	0.0394846514
143	0.03945725565
144	0.03944292763
145	0.03942246804
146	0.03939612824
147	0.03937468606
148	0.03934940087
149	0.03933605185
150	0.039322565
151	0.03929576627
152	0.03927920222
153	0.03927046522
154	0.03925654011
155	0.03923676756
156	0.03922139373
157	0.03919778014
158	0.03918023242
159	0.03915819599
160	0.03913711243
161	0.03911576162
162	0.03909608989
163	0.03907513141
164	0.03905895494
165	0.03903848039
166	0.0390213154
167	0.03900256012
168	0.0389819172
169	0.03896291502
170	0.03894910247
171	0.03892383414
172	0.03890797517
173	0.03888937128
174	0.03887055476
175	0.03885151533
176	0.0388333494
177	0.03881212302
178	0.03879282797
179	0.03877162368
180	0.03875686965
181	0.03874661878
182	0.03872748897
183	0.03871177035
184	0.03870425748
185	0.03868967427
186	0.03867602264
187	0.03866605394
188	0.03864924705
189	0.03863865731
190	0.03862011578
191	0.03860779379
192	0.038593787
193	0.03857445414
194	0.03856183107
195	0.03853472344
196	0.03851924306
197	0.03850325515
198	0.03848688042
199	0.03845900462
200	0.03844574589
201	0.03842767329
202	0.03841227533
203	0.03839638092
204	0.03837831982
205	0.03836103529
206	0.03833458203
207	0.03831491361
208	0.03829549248
209	0.03828493689
210	0.03826131635
211	0.03824203716
212	0.0382227861
213	0.03820065939
214	0.03817913037
215	0.03815683008
216	0.03814193823
217	0.03811879139
218	0.03810197573
219	0.03808628213
220	0.03807273731
221	0.03805410465
222	0.0380336342
223	0.03801352619
224	0.03800186177
225	0.0379806405
226	0.03795464287
227	0.03793815445
228	0.03792344736
229	0.03790516752
230	0.0378852934
231	0.03786816578
232	0.03785428334
233	0.03784354308
234	0.03783077323
235	0.03781109105
236	0.03779242825
237	0.03777717587
238	0.0377632007
239	0.03775389207
240	0.03773642151
241	0.03772466607
242	0.03771566375
243	0.037693499
244	0.03767996108
245	0.03766999603
246	0.03766024703
247	0.037644185
248	0.03762675127
249	0.03760614138
250	0.03759369036
251	0.03757755315
252	0.03756653717
